Time,Max,Min
1,27.2,18.6
2,28.3,16.4
3,31.8,19.5
4,31.2,20.4
5,27.5,21.2
6,26.1,10.5
7,24.9,9.4
8,29.2,14.5
9,26,18.8
10,25.1,13.4
11,26.7,11
12,28.6,12.6
13,26.4,20
14,27.5,17.1
15,28.8,17.3
16,26.3,15.1
17,26.9,14
18,19.4,10.7
19,18.4,8.2
20,21.9,6.7
21,27.6,12.5
22,28.7,15
23,27.6,15.1
24,18.1,5.6
25,17.4,4.6
26,25.4,9.5
27,20.5,11
28,15,6.9
29,19.7,7.2
30,19.7,12.9
31,18.8,12.8
32,16.3,5.9
33,16.9,5
34,19.5,10.8
35,20.6,8.5
36,15.6,5.1
37,17.6,4.1
38,13.1,9.9
39,12.3,10.2
40,15.6,11.1
41,19.1,10.2
42,19.4,10.6
43,16.7,11.3
44,20.8,13.4
45,16.1,8.2
46,11.2,5
47,12.4,1.3
48,15.8,4.2
49,13.8,6.7
50,10.7,4.9
51,8.2,-0.9
52,10.7,-2.7
53,10.8,4.4
54,18.1,8.5
55,9.2,1.8
56,,0.9
57,19.5,9
58,13.9,11.2
59,18.7,9.2
60,13.4,7.9
61,15.2,4.8
62,13.2,4.1
63,12.5,2
64,14.3,4.3
65,21.4,6.6
66,14.8,10.2
67,13.2,9.3
68,17.1,9.1
69,21.3,13.6
70,14.9,7
71,8.6,5.2
72,6,3.5
73,5.6,3.3
74,4.1,1.3
75,2.8,-3.9
76,3.2,-5.4
77,3,-4.6
78,5.7,-4.3
79,5.6,-5.6
80,6.2,-1.5
81,7.1,0.2
82,18.8,-0.5
83,9.2,-1.8
84,6,-5.6
85,3.1,-5.3
86,5.9,-6.6
87,3.4,-3.5
88,5.2,-6.9
89,6.6,-5
90,6,-4.4
91,8.6,-2.8
92,12.5,-2
93,12.3,1.2
94,5.4,-2.9
95,-1.3,-6.4
96,-0.1,-8.7
97,1.3,-8.9
98,2,-6.2
99,,-8.2
100,-7.8,-14.1
101,-4,-12.3
102,8.4,-4
103,8,1.1
104,12.7,2.3
105,9.1,-2.7
106,-0.7,-6.3
107,4.2,-3.3
108,4.4,0.9
109,2,-4.8
110,2.7,-4.8
111,0.1,-9.3
112,-2.1,-11.2
113,2.2,-7.4
114,3.6,-6.3
115,-6.1,-10.7
116,-2.1,-10.1
117,2.5,-3
118,1.5,0.2
119,1.7,0.1
120,2,-1.8
121,2.6,0.5
122,1.4,-7.8
123,-6.6,-9.5
124,-7,-11.4
125,-6.7,-12
126,-9.3,-14.1
127,-3.4,-9.3
128,-4.2,-12
129,-8.2,-15.6
130,-8.9,-13.9
131,0.7,-11.6
132,-1.2,-16.5
133,-13.8,-22.9
134,-12.9,-23.1
135,0.5,-15.1
136,0.6,-12.7
137,-6.9,-10.5
138,-6,-13.6
139,1.8,-10.7
140,5.5,-6.2
141,3,-2.5
142,2.9,-2.9
143,5.3,1.5
144,5.6,1.9
145,6.2,-0.3
146,0,-3.2
147,1.9,-3.4
148,1.7,-18.9
149,-7,-21.4
150,1.1,-7.5
151,6.6,-15.7
152,-15.5,-19.6
153,-15.3,-23
154,-22.3,-27.2
155,-17,-24
156,-14.6,-20.6
157,-11,-21
158,-10.7,-18
159,-6.2,-14.3
160,1.9,-11
161,7.9,1.6
162,9.6,-12
163,-11.7,-15.3
164,-11.3,-16.9
165,-9,-15.7
166,-8,-17.7
167,-9.1,-19.8
168,-6.1,-16
169,-15.5,-20.6
170,-10.8,-17.1
171,-6.6,-17
172,-5.4,-19
173,3.4,-10.6
174,2.6,-0.5
175,0.7,-1.9
176,1.6,-1.8
177,3.8,-3.4
178,-3.4,-11.3
179,-7.5,-14.6
180,-7.8,-15.9
181,0.1,-11.4
182,-1.2,-11.3
183,,-13.1
184,-0.1,-6.8
185,1.5,-2.9
186,1.3,0.2
187,2.4,-1.5
188,3.7,-1
189,2.9,0
190,1.9,-0.3
191,1.6,-1.5
192,0.4,-4.5
193,-1.4,-5.2
194,-3.4,-7.1
195,2.2,-4.4
196,3.9,0.4
197,0.6,-0.9
198,3.6,-4.6
199,5.8,-6.3
200,8.7,-2.3
201,7.5,2.8
202,7.5,2.1
203,5.1,0.1
204,0.1,-9.1
205,-2,-9.4
206,-4.7,-10.4
207,-3.9,-10.9
208,-1.5,-13
209,-0.4,-4.5
210,0.3,-6.1
211,1.1,-4.9
212,-0.5,-5.1
213,2.8,-4.3
214,3.7,-3.8
215,7,-3.3
216,7.1,-2.8
217,7.8,-0.9
218,9.4,1
219,8.4,0.4
220,9,-3.5
221,12.9,-0.7
222,6.8,-5.7
223,-0.9,-6.6
224,2.2,-4.6
225,9,-3.5
226,6.3,-4.1
227,2.4,-6.9
228,12.9,0.5
229,9,2.5
230,8.9,1.7
231,10,2
232,3.7,-1.6
233,2.1,-1.4
234,5.8,1.6
235,9.3,2.1
236,13.6,-0.6
237,13.7,5.8
238,13.2,2.7
239,16.6,4.5
240,21.6,6.6
241,9,-0.5
242,6.7,-2.8
243,14.4,-0.1
244,14.8,2.6
245,21.7,5.4
246,11.2,3.2
247,11.2,1.7
248,15.7,2.4
249,21.3,2.9
250,21.9,9.9
251,22.1,11.6
252,26.2,9.7
253,25.3,11.7
254,22.9,10.4
255,24.6,9.2
256,26.6,11.4
257,26.9,10.3
258,28.2,10.9
259,28.7,12.2
260,24.7,16.3
261,20.7,11
262,18.8,10.2
263,13.5,3.9
264,10.2,1.5
265,14.6,-0.2
266,17.2,3.7
267,17.4,8.9
268,19.8,5.2
269,22.1,6
270,20.6,9.3
271,22.6,13.6
272,19.4,13.8
273,23.6,12.8
274,22.5,10
275,10.9,7.5
276,10,6.6
277,12.9,4.3
278,20.6,3.6
279,23.4,7.8
280,21,14.4
281,27.8,15.4
282,31.7,19.8
283,29.9,20.3
284,26.4,18.8
285,18.8,11.9
286,18.2,8.4
287,19,5.8
288,16.1,10.2
289,14.9,11.9
290,16.3,11.7
291,24.7,14.5
292,25.2,13.5
293,16.2,13
294,22.1,12.7
295,23.4,11
296,25.6,11.5
297,24.2,10.6
298,18.6,12.8
299,20.6,9.3
300,21.2,8.8
301,20.4,7.6
302,23.5,12.1
303,27.1,15.5
304,20.5,18.4
305,24.9,18.6
306,30.5,20.1
307,29,21.5
308,24.8,15.6
309,25,15
310,16,14
311,21.9,15.6
312,24.4,16.4
313,23.9,16.3
314,21.2,16.6
315,,17.2
316,29.5,19.2
317,29.8,21.9
318,29.7,22.2
319,26.2,18.7
320,25.8,17.7
321,29.2,19.3
322,28.2,21.9
323,25.8,16.7
324,25.9,14.8
325,29.6,14.1
326,31,20.1
327,32.9,22.2
328,31.8,20.1
329,33.1,21.6
330,29.9,20.9
331,33.6,20.9
332,28.2,16.9
333,22,13.4
334,25.3,12
335,27.5,19.1
336,21.8,10.5
337,22.4,8.5
338,24.8,12.2
339,26.7,14.1
340,27.1,18.7
341,23.6,16.8
342,23.9,14.4
343,26.4,16.4
344,26.7,18.5
345,25.5,18.2
346,22.9,16.2
347,22,12.3
348,22.6,10
349,25.3,14
350,26.9,15.5
351,27.8,19.9
352,26.2,19.9
353,22.2,13.5
354,25.2,12.7
355,25.8,16.4
356,24.2,16.1
357,20.6,14.1
358,23.6,12.9
359,23.2,14.9
360,23.6,11.8
361,27.1,14
362,27.8,17.4
363,28.6,18.7
364,29.6,20.2
365,23.8,16.3
366,23.2,12
367,23.7,9.7
368,25.3,13.8
369,24.3,17.2
370,26,18.8
371,29.6,18.2
372,24.5,16.5
373,26,14.9
374,24.3,18.7
375,27.1,18.3
376,22.8,15.6
377,22.1,16.1
378,19,11.1
379,17.4,7.2
380,20.2,6.9
381,21.7,15.8
382,17.9,7.9
383,19.6,8.8
384,19.6,14.5
385,30.6,15.6
386,23.7,17.2
387,17.3,11.5
388,15,9.5
389,19.1,9.9
390,13.7,5
391,17.4,4.8
392,20.5,8.8
393,23,9.9
394,25.8,12.6
395,21.1,15.5
396,15.6,6.3
397,12.9,5.3
398,18.7,7
399,17.8,6.2
400,18.1,7.1
401,20.3,9.1
402,22.9,7
403,23.4,10.2
404,23.9,9.3
405,23.3,11.1
406,24.4,12.1
407,21.3,9.8
408,17.5,13.3
409,17.6,11.8
410,15.2,8.5
411,23.9,8.6
412,14.4,6.2
413,17.7,3.6
414,19.3,5.5
415,22.5,6.3
416,22.3,9.2
417,20.3,9.3
418,17.9,9.3
419,16.5,11.5
420,18.2,13.5
421,17.4,11.8
422,15.1,9.4
423,15.7,6.1
424,12.1,3
425,14.6,2.1
426,13.5,6.1
427,8.9,1.1
428,6.3,0
429,7.4,-0.2
430,6.9,1.8
431,7.6,2.4
432,7,-2.8
433,3.8,-5
434,6.9,-2
435,13.4,0.9
436,18.7,8.3
437,8.4,-2
438,4.5,-4.2
439,3.8,-6.1
440,9.2,-0.2
441,13.7,3.8
442,14.2,2.2
443,4.3,1.6
444,4.2,0
445,5.4,2.4
446,4,-3.6
447,0.1,-5.5
448,2.5,-7.1
449,6.8,1.7
450,10.4,3.8
451,12.3,2.5
452,13.2,3.7
453,14.7,1.3
454,1.7,-4.5
455,1.5,-6.4
456,3.5,-4
457,4.9,0.8
458,0.8,-6.6
459,-5.3,-11.6
460,1.1,-12.8
461,2.7,0
462,1.4,-4.9
463,-4.8,-10
464,-5.2,-13.3
465,-4.2,-14.8
466,-1.1,-6.9
467,0.4,-2.3
468,1.3,-1.2
469,,-3.6
470,,-0.8
471,4.7,-2.1
472,-1.6,-7.1
473,-2.5,-9.3
474,3.6,-5.2
475,1.2,-8.6
476,-5.4,-14.4
477,-7.2,-20.2
478,-8.5,-21.7
479,-15.5,-21.4
480,-11.2,-15.7
481,-12.9,-22.2
482,-14.5,-24.2
483,-7.5,
484,0.8,-8.4
485,-0.9,-8.5
486,,
487,-6.7,-9
488,-5.4,-9
489,-12.4,-15.9
490,-13.6,-20.2
491,,-17.1
492,-3.8,-11.5
493,,
494,,
495,,
496,-14.8,-20.6
497,-16.2,-24.2
498,-22.2,-27
499,-18.9,-24.2
500,-8.2,-23.7
501,0.6,-12.5
502,6.7,-11.1
503,-11,-16.4
504,-8.4,-14.3
505,-7.5,-11.9
506,-4,-13.3
507,7.7,-6
508,5.3,0.8
509,4.5,-1.6
510,4.7,-0.9
511,2.3,-4
512,0,-5.1
513,0.7,-4.1
514,,-6.4
515,-1.6,-6.4
516,-6.3,-20.7
517,-18.5,-24
518,-17.4,-25.5
519,-17.3,-22.7
520,-9.6,-23.3
521,-5.1,-15.2
522,-12.8,-21.4
523,-6,-17.1
524,-10.3,-19.4
525,-9.3,-13.6
526,-4.1,-12.3
527,1.4,-5.4
528,-1,-9.4
529,-1.1,-9.7
530,-5.2,-15.4
531,-6,-17
532,-7.6,-15.8
533,-9,-19.3
534,-7.3,-11.7
535,-5.5,-11.9
536,-5.3,-12.1
537,-6.8,-15.2
538,-11.1,-18.4
539,-9.7,-22.5
540,-6.1,-18.1
541,-2.5,-6.1
542,-5.4,-12.6
543,-9.3,-16.1
544,-9.8,-17.2
545,,
546,,
547,3.2,-4.3
548,4.5,0.3
549,6.4,-1.2
550,1.8,-4.2
551,-4.2,-10.6
552,-8.8,-13.1
553,-9.4,-14.1
554,-6.7,-14.1
555,-12,-17.9
556,-2.8,-14.1
557,,
558,-12.5,-18.3
559,-10.8,-17.7
560,-8.5,-17.2
561,-6.9,-19.4
562,0.2,-17.8
563,3.3,-6.2
564,-3.7,-11.9
565,0.7,-5.4
566,5.4,0.4
567,1.5,-11.9
568,-6.9,-14.6
569,2.2,-15.9
570,4.7,-8.3
571,-8.2,-14.8
572,-6.5,-16.1
573,-2.1,-13.3
574,3.2,-8.9
575,3.1,-0.2
576,2.6,-2.8
577,0.7,-3.7
578,0.2,-16.1
579,-4.6,-18.1
580,-0.6,-10.5
581,-2.5,-10.4
582,-1.6,-12.4
583,4.2,-2.3
584,3.3,0.7
585,0.7,-1.4
586,6.2,-1.5
587,5,-2.9
588,5,1.4
589,3.4,-2.5
590,7.4,-2.8
591,5.1,0.4
592,7.1,-1
593,13.3,-1.4
594,,
595,4.9,-1.6
596,16.3,-1.7
597,,
598,,
599,,
600,,
601,,
602,,
603,7.7,-4.2
604,11.2,1.5
605,10.7,0.9
606,14.1,-1
607,19.4,7.2
